书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签,出版社
https://book.douban.com/subject/26745916/,https://img1.doubanio.com/view/subject/s/public/s28518559.jpg,美麗的他, ,8.5,846人,凪良ゆう、葛西リカコ / 林珉萱 / 青文出版社股份有限公司 / 2016-3-25,暂无,凪良ゆう&葛西リカコ,耽美&日本&BL小说&BL&小说&bl小说&腐女&小說,青文出版社
https://book.douban.com/subject/30336340/,https://img1.doubanio.com/view/subject/s/public/s29889999.jpg,撒野, ,8.5,40905人,巫哲 / 北京联合出版公司 / 2018-10 / 45.00元,暂无,巫哲,救赎&耽美&青春&撒野&勇敢&巫哲&校园&真实,北京联合出版公司
https://book.douban.com/subject/27608412/,https://img1.doubanio.com/view/subject/s/public/s29663109.jpg,默读, ,8.3,49095人,Priest / 百花洲文艺出版社 / 2018-1 / 45.00,暂无,Priest,priest&犯罪&耽美&悬疑&人性&救赎&推理&心理,百花洲文艺出版社
https://book.douban.com/subject/35160284/,https://img2.doubanio.com/view/subject/s/public/s33699402.jpg,某某, ,7.9,8595人,木苏里 / 江苏凤凰文艺出版社 / 2020-8 / 49.80元,暂无,木苏里,木苏里&校园&耽美&耽美小说&BL&小说&2020,江苏凤凰文艺出版社
https://book.douban.com/subject/35003415/,https://img2.doubanio.com/view/subject/s/public/s33739383.jpg,将进酒, ,8.7,9448人,唐酒卿 / 江苏凤凰文艺出版社 / 2020-4 / 68.00（二册）,大周王朝咸德年间，建兴王沈卫兵败于东北茶石河，导致中博六州险些被外敌侵占。其子沈泽川受押入京，沦为人人喊打的余孽。离北王幼子萧驰野闻讯而来，出手狠戾几乎要了... ,唐酒卿,权谋&古耽&耽美&古风&耽美小说&BL&战争&古言,江苏凤凰文艺出版社
https://book.douban.com/subject/34467283/,https://img2.doubanio.com/view/subject/s/public/s33973763.jpg,破云, ,8.1,19337人,淮上 / 江苏凤凰文艺出版社 / 2019-7 / 49.80元,暂无,淮上,刑侦&悬疑/推理/犯罪&淮上&耽美&原耽&悬疑&推理&耽美小说,江苏凤凰文艺出版社
https://book.douban.com/subject/35139523/,https://img2.doubanio.com/view/subject/s/public/s33687612.jpg,小蘑菇,审判日,8.5,5330人,一十四洲 / 读创 | 北京联合出版公司 / 2020-7 / 49.8元,暂无,一十四洲,科幻&末世&耽美&小说&BL&中国&0.科幻&2020,读创 | 北京联合出版公司
https://book.douban.com/subject/35301956/,https://img2.doubanio.com/view/subject/s/public/s33815103.jpg,全球高考, ,7.2,3899人,木苏里 / 北京燕山出版社 / 2020-12 / 180.00元,用于体能筛选训练的人工智能系统突然有了自主意识，一切事情开始超出控制范畴。主角游惑被失控的系统拉进了一场虚拟“考试”里，一并被拉进来的还有各色各样的普通人，... ,木苏里,耽美&木苏里&无限流&小说&晋江&网文&高考&2019,北京燕山出版社
https://book.douban.com/subject/21319773/,https://img2.doubanio.com/view/subject/s/public/s25946312.jpg,禁じられた戯び, ,8.5,103人,山藍紫姫子、蘭丸 / 花丸文庫black / 2013-3 / 690,「なんでも僕の言うこと聞くって約束したろ?」見捨てられ、愛を知らずに育った子供が愛を求めるとき。美貌の父親を毒牙にかけ、その肉体に君臨する! 残酷な子供たち... ,山藍紫姫子&蘭丸,耽美&腐女&BL小说&BL&日本&BL小說&♂BL小说♂&座裏屋蘭丸,花丸文庫black
https://book.douban.com/subject/35287229/,https://img9.doubanio.com/view/subject/s/public/s33783874.jpg,海棠微雨共归途, ,6.7,3400人,肉包不吃肉 / 广东旅游出版社 / 2020-12 / 49.80元,暂无,肉包不吃肉,耽美&虐恋&古风&仙侠,广东旅游出版社
https://book.douban.com/subject/31585774/,https://img1.doubanio.com/view/subject/s/public/s30500608.jpg,碎玉投珠, ,8.4,5373人,北南 / 青岛出版社 / 2019-3 / 30.00,暂无,北南,耽美&古玩&耽美小说&BL&小说&网络小说,青岛出版社
https://book.douban.com/subject/34429608/,https://img2.doubanio.com/view/subject/s/public/s33296083.jpg,伪装学渣, ,6.4,11622人,木瓜黄 / 北京时代华文书局 / 2019-6 / 39.80元,小说讲述了分班后，两位风靡校园的“问题少年”不止分进一个班还成为同桌的故事。他们明明是学霸却要装学渣，浑身都是戏，考试要争倒数第一，表面上天天玩游戏，实际上... ,木瓜黄,谢俞&耽美&贺朝&校园&耽美小说&木瓜黄&大佬&BL,北京时代华文书局
https://book.douban.com/subject/35130997/,https://img9.doubanio.com/view/subject/s/public/s33745304.jpg,杀破狼, ,8.5,5091人,Priest / 湖南文艺出版社 / 2020-11 / 149.40,暂无,Priest,古耽&耽美&Priest&蒸汽朋克&priest&战争&我想读这本书,湖南文艺出版社
https://book.douban.com/subject/35099889/,https://img1.doubanio.com/view/subject/s/public/s33667607.jpg,我等你到三十五岁, ,9.0,2406人,南康白起 / 39.8元,暂无,南康白起,耽美&同性&爱情&小说&传记&网络小说&中国&言情, 
https://book.douban.com/subject/34912747/,https://img9.doubanio.com/view/subject/s/public/s33973764.jpg,破云2, ,7.9,6207人,淮上 / 江苏凤凰文艺出版社 / 2020-6 / 49.80元,暂无,淮上,淮上&刑侦推理&耽美&悬疑/推理/犯罪&缉毒&原耽&推理&爱情,江苏凤凰文艺出版社
https://book.douban.com/subject/30181592/,https://img9.doubanio.com/view/subject/s/public/s33877045.jpg,天官賜福 一, ,7.8,11221人,墨香銅臭、日出的小太陽(繪) / 平心出版 / 2021-3-18 / TWD 380,暂无,墨香銅臭&日出的小太陽,墨香铜臭&耽美&花城&古风&耽美小说&小说&好书，值得一读&晋江,平心出版
https://book.douban.com/subject/35565643/,https://img1.doubanio.com/view/subject/s/public/s33970869.jpg,判·闻时, ,8.3,701人,木苏里 / 湖南文艺出版社 / 2021-8 / 58.00元,暂无,木苏里,木苏里&耽美&原耽&玄幻&古耽&鬼怪&小说&BL,湖南文艺出版社
https://book.douban.com/subject/35058847/,https://img2.doubanio.com/view/subject/s/public/s33914673.jpg,撒野 3,撒野完结篇,8.9,3648人,巫哲 / 江苏凤凰文艺出版社 / 2020-5-7 / 49.80元,暂无,巫哲,耽美&巫哲&青春&校园&成长&爱情&暖心&小说,江苏凤凰文艺出版社
https://book.douban.com/subject/35221974/,https://img2.doubanio.com/view/subject/s/public/s34008343.jpg,烈火浇愁, ,7.0,1180人,Priest / 中国华侨出版社 / 2021-9 / 55.00元,本书重修版之内容与初版差异极大，晋江文学城重修版字数为783117字，重修版比之初版多出20多万字，情节、设定、出场人物皆有差异，中后期尤甚，重修版行文与内... ,Priest,Priest&耽美&玄幻&原耽&小说&BL&网络文学&中国,中国华侨出版社
https://book.douban.com/subject/26735016/,https://img2.doubanio.com/view/subject/s/public/s28459993.jpg,男子宿舍的玩具,1,7.5,223人,菊の助 / 黃依齡 / 東立 / 2016-2-24 / NT 130,因為品行不良，被迫進入男校就讀的太陽，某天卻受到宿舍長──一之瀨大空的邀請出去玩。殊不知這個邀請改變了太陽在男校裡的生活。面對露出鬼畜本性的大空，太陽不僅逃... ,菊の助,耽美&BL漫画&腐女&漫画&『又腐又基』&BL&日本&♂耽美向♂,東立
https://book.douban.com/subject/33384915/,https://img9.doubanio.com/view/subject/s/public/s32271144.jpg,AWM绝地求生 上册,上册,7.2,5118人,漫漫何其多 著 / 北京时代华文书局 / 2019-4 / 39.8元,暂无,漫漫何其多 著,电竞&漫漫何其多&耽美&耽美小说&BL&小说&晋江&网游,北京时代华文书局
https://book.douban.com/subject/27075479/,https://img2.doubanio.com/view/subject/s/public/s33653541.jpg,人渣反派自救系統 上, ,7.2,7385人,墨香銅臭 / 平心工作室 / 2017-7-24 / NTD 330,暂无,墨香銅臭,墨香铜臭&耽美&耽美小说&古风&仙侠&穿越&重生&搞笑,平心工作室
https://book.douban.com/subject/26939596/,https://img9.doubanio.com/view/subject/s/public/s29232885.jpg,殺破狼,（共3冊）,8.8,18775人,Priest / 龍馬文化 / 2016-9 / 臺幣1200圓,暂无,Priest,Priest&耽美&家国天下&蒸汽朋克&架空&小说&古言&耽美小说,龍馬文化
https://book.douban.com/subject/25890347/,https://img2.doubanio.com/view/subject/s/public/s29872701.jpg,天涯客,琉璃甲,7.1,4064人,Priest / 蘊藏文化股份有限公司 / 2014-2-5 / NTD 240,暂无,Priest,耽美&武侠&Priest&古风&小说&priest&古代&网络文学,蘊藏文化股份有限公司
https://book.douban.com/subject/30384054/,https://img3.doubanio.com/view/subject/s/public/s29928700.jpg,残次品, ,8.5,6588人,Priest / 江苏凤凰文艺出版社 / 2018-12 / 85.00元,当人们走向星际，从此再不受地心引力约束，人类的未来在何方？ 联盟建立两百多年，贫富差距不断增大，而伊甸园系统则更像个大型谎言，将充斥着“空脑症”公民的第八星... ,Priest,priest&耽美&科幻&星际&科幻小说&小说&大气&自由,江苏凤凰文艺出版社
https://book.douban.com/subject/30354745/,https://img2.doubanio.com/view/subject/s/public/s29952142.jpg,美麗的他(02)～可恨的他～, ,,237人,凪良ゆう、葛西リカコ / 青文 / 2018-12-19 / NTD 230,暂无,凪良ゆう&葛西リカコ,日本&BL小说&耽美&BL&小说&bl小说&凪良ゆう&哲学,青文
https://book.douban.com/subject/33413575/,https://img9.doubanio.com/view/subject/s/public/s32296964.jpg,撒野 2, ,8.8,11183人,巫哲 / 贵州人民出版社 / 2019-4 / 49.80元,暂无,巫哲,耽美&跟着光无所畏惧&青春&巫哲&成長&勇敢&希望&校園,贵州人民出版社
https://book.douban.com/subject/27061120/,https://img9.doubanio.com/view/subject/s/public/s33884055.jpg,六爻, ,8.5,9671人,？ / ？ / 1900 /,本作是晋江作者Priest的一部原创古风小说。故事讲述了一个破败不堪的没落门派“扶摇派”如何在臭美猴、捣蛋精、刻薄鬼、二百五和小杂毛这几个同门师兄弟的手里重... ,？,耽美&修仙&Priest&古风&priest&大气&武侠&BL,？
https://book.douban.com/subject/27105120/,https://img9.doubanio.com/view/subject/s/public/s29509654.jpg,遇蛇,耽美古风小说,7.9,4101人,溯痕 / 晋江文学城 / 2015-5-1 / 0.00,暂无,溯痕,耽美&虐&古风&耽美小说&BL&小说,晋江文学城
https://book.douban.com/subject/35609074/,https://img9.doubanio.com/view/subject/s/public/s34004284.jpg,穿堂惊掠琵琶声, ,8.6,338人,高台树色 / 广东旅游出版社 / 2021-9,工程师孟新堂突然遭遇事业危机，研发中的项目因为意外被迫停止。难得闲暇，他去朋友新开的茶馆捧场，却被一曲琵琶勾住心神，寻音问人，孟新堂由此结识了沈识檐。沈识檐... ,高台树色,耽美&小说&爱情&网络文学&2021&bl&BL&耽美小说,广东旅游出版社
https://book.douban.com/subject/33456675/,https://img2.doubanio.com/view/subject/s/public/s32327551.jpg,镇魂, ,8.0,21253人,Priest / 贵州人民出版社 / 2019-5 / 49.80元,暂无,Priest,priest&耽美&上古神话&耽美小说&小说&灵异&强强&网络小说,贵州人民出版社
https://book.douban.com/subject/30283545/,https://img1.doubanio.com/view/subject/s/public/s33636657.jpg,花近江國, ,8.7,1387人,孔恰 / 留守番 / 2018-8-13 / NTD 1650,暂无,孔恰,耽美&古风&小说&谋略&草原,留守番
https://book.douban.com/subject/35458364/,https://img9.doubanio.com/view/subject/s/public/s33914755.jpg,阿也, ,6.0,431人,引路星 / 长江出版社 / 2021-4 / 39.8,暂无,引路星,耽美&ABO&甜文&校园&纯爱&小说&晋江&腐女,长江出版社
https://book.douban.com/subject/35305007/,https://img2.doubanio.com/view/subject/s/public/s33792802.jpg,碎玉投珠, ,7.9,966人,北南 / 广东旅游出版社 / 2020-12 / 42.00元,古玩行没一个缺心眼儿的。  退一步兄友弟恭，进一步情义深重。    丁汉白：“这行最喜欢的就是玉，料分三六九等，人也分龙凤蝼蚁，我既名汉白，自是配得起良玉。... ,北南,耽美&原耽&小说&BL&少年&晋江&中國&2020,广东旅游出版社
https://book.douban.com/subject/30307059/,https://img1.doubanio.com/view/subject/s/public/s29852498.jpg,默读.3,大结局,8.5,9154人,Priest / 北京联合出版公司 / 2018-8 / 48.00元,暂无,Priest,耽美&悬疑&犯罪&推理&Priest&默读&小说&舟渡,北京联合出版公司
https://book.douban.com/subject/33393417/,https://img2.doubanio.com/view/subject/s/public/s33991963.jpg,白日事故, ,8.6,2565人,高台樹色 / 留守番 / 2019-5-13 / NTD 780,暂无,高台樹色,耽美&爱情&美好&小说&青春&现代,留守番
https://book.douban.com/subject/35047569/,https://img2.doubanio.com/view/subject/s/public/s33630641.jpg,日落大道, ,8.1,1227人,卡比丘 / 沒譜文化出版社 / 2020-6 / NTD 340,暂无,卡比丘,耽美&ABO&暗恋&原耽&小说&耽美小说&爱&BL,沒譜文化出版社
https://book.douban.com/subject/34939308/,https://img9.doubanio.com/view/subject/s/public/s33553536.jpg,我喜歡你的信息素 上, ,7.1,1921人,引路星 / 沒譜文化出版社 / 2020-2 / NTD350,暂无,引路星,ABO&耽美&原耽&小说&BL&强强,沒譜文化出版社
https://book.douban.com/subject/27168013/,https://img9.doubanio.com/view/subject/s/public/s29575354.jpg,Killing stalking: 1 杀戮跟踪, ,9.1,2024人,Koogi / Edizioni BD / 2017-7-13,"Ossessionato da un ragazzo incontrato all'università, ma troppo tormentato per... ",Koogi,耽美&漫画&BL&犯罪&韩国&恐怖&漫畫&漫画&amp;绘本,Edizioni BD
https://book.douban.com/subject/26778494/,https://img2.doubanio.com/view/subject/s/public/s33597943.jpg,大哥, ,8.4,10068人,Priest / 上海人民美术出版社 / 2016-3-1 / CNY 32.00,《大哥》是Priest众多小说作品中有口皆碑，备受期待出版的小说。晋江文学城著名作者酥油饼倾情作序推荐。许多读者因为《大哥》喜欢上Priest并关注至今，得... ,Priest,耽美&Priest&priest&耽美小说&小说&BL&经典&网络小说,上海人民美术出版社
https://book.douban.com/subject/30246163/,https://img3.doubanio.com/view/subject/s/public/s29825750.jpg,默读.2, ,8.5,10389人,Priest / 北京联合出版公司 / 2018-6 / 48.00元,暂无,Priest,Priest&耽美&悬疑&刑侦&破案&救赎&默读&小说,北京联合出版公司
https://book.douban.com/subject/35016019/,https://img1.doubanio.com/view/subject/s/public/s33930887.jpg,当年万里觅封侯, ,7.4,2128人,漫漫何其多 / 江苏凤凰文艺出版社 / 2020-8 / 49.80元,暂无,漫漫何其多,耽美&古耽&漫漫何其多&小说&架空&爱情&网络小说&网络文学,江苏凤凰文艺出版社
https://book.douban.com/subject/35691375/,https://img1.doubanio.com/view/subject/s/public/s34066839.jpg,判·尘不到, ,8.5,190人,木苏里 / 湖南文艺出版社 / 2021-12 / 54.80元,暂无,木苏里,耽美&木苏里&小说&BL&玄幻&中国小说&青春&2022,湖南文艺出版社
https://book.douban.com/subject/2277402/,https://img9.doubanio.com/view/subject/s/public/s3887556.jpg,兄弟限定! 第1卷,BROTHER X BROTER,7.4,365人,如月弘鹰 / 角川书店 / 2005年4月1日 / 560日元,暂无,如月弘鹰,耽美&耽美漫画&漫画&BL&腐&日本漫画&日本,角川书店
https://book.douban.com/subject/35219864/,https://img9.doubanio.com/view/subject/s/public/s33733585.jpg,提灯看刺刀, ,6.3,1616人,淮上 / 江苏凤凰文艺出版社 / 60.00,暂无,淮上,淮上&耽美&原耽&BL&小说&犯罪&推理&2017,江苏凤凰文艺出版社
https://book.douban.com/subject/33706744/,https://img9.doubanio.com/view/subject/s/public/s33316415.jpg,魔道祖師,新裝版,7.6,2261人,墨香铜臭 / 平心出版 / 2019-7-24 / TWD 1850,暂无,墨香铜臭,墨香铜臭&魔道祖师&耽美小说&耽美&玄幻&小说&鬼怪,平心出版
https://book.douban.com/subject/35591033/,https://img1.doubanio.com/view/subject/s/public/s33991549.jpg,FOG迷雾之中, ,6.7,268人,漫漫何其多 / 广东旅游出版社 / 2021-9 / 55.00元,余邃和时洛年少相识，一个是久负盛名的医疗师选手，一个是刚刚入行的电竞新人，两人原本效力于同一战队，是并肩作战的好队友。但一场意外后，余邃远走欧洲，时洛转职突... ,漫漫何其多,漫漫何其多&电竞&耽美&小说&BL&晋江&中国&原耽,广东旅游出版社
https://book.douban.com/subject/35179822/,https://img2.doubanio.com/view/subject/s/public/s33710561.jpg,入池, ,7.9,1039人,骑鲸南去 / 江苏凤凰文艺出版社 / 2020-9 / 49.80元,暂无,骑鲸南去,耽美&小说&耽美小说&细腻&温柔,江苏凤凰文艺出版社
https://book.douban.com/subject/35229603/,https://img2.doubanio.com/view/subject/s/public/s33772712.jpg,纸飞机, ,7.7,994人,潭石 / 广东旅游出版社 / 2020-10 / 39.80元,暂无,潭石,耽美&耽美小说&原耽&BL&小说&中国&网文,广东旅游出版社
https://book.douban.com/subject/35297818/,https://img9.doubanio.com/view/subject/s/public/s33974605.jpg,解药, ,7.8,659人,巫哲 / 广东旅游出版社 / 2020-12 / 49.80元,暂无,巫哲,巫哲&耽美&原耽&小说&青春文学&耽美小说&BL,广东旅游出版社
https://book.douban.com/subject/26361255/,https://img2.doubanio.com/view/subject/s/public/s28043472.jpg,柔肌に乱れ桜,-花街エロティカ-,,71人,西野花 / 大誠社 / 2014-9-25 / 658,高級男娼館・華実屋。うだつのあがらない端娼妓の緋桜は、馴染み客の綾部だけが支えだった。だが新楼主に着任した水揚げの相手、志蔓と再会しその運命は急転する。「男... ,西野花,耽美&腐女&漫画&bl&BL&日本&BL小说&bl小说,大誠社
https://book.douban.com/subject/3022521/,https://img1.doubanio.com/view/subject/s/public/s2983669.jpg,天官赐福, ,8.2,9804人,杜枫 / 三葉草出版社 / 2008-02-20,暂无,杜枫,墨香铜臭&花怜&古风耽美&神仙爱情&花城&耽美&耽美小说&玄幻,三葉草出版社
https://book.douban.com/subject/35562980/,https://img2.doubanio.com/view/subject/s/public/s33968831.jpg,海棠微雨共归途2, ,6.0,355人,肉包不吃肉 / 广东旅游出版社 / 2021-8 / 52.80元,长阶血未尽，那是他带你回家的路。 ,肉包不吃肉,耽美&古风&仙侠&小说&晋江&虐&腐女&BL,广东旅游出版社
https://book.douban.com/subject/26253107/,https://img1.doubanio.com/view/subject/s/public/s27928079.jpg,美しい彼, ,9.0,308人,凪良ゆう、葛西リカコ / 徳間書店 / 2014-12-19 / JPY 680,暂无,凪良ゆう&葛西リカコ,凪良ゆう&BL&日本&小说&BLノベル&耽美&日系耽美&耽美小说,徳間書店
https://book.douban.com/subject/35543491/,https://img9.doubanio.com/view/subject/s/public/s33954585.jpg,我行让我上, ,8.2,304人,酱子贝 / 北京燕山出版社 / 2021-8,暂无,酱子贝,电竞&耽美&BL&晋江&纯爱&小说&爱情&中国,北京燕山出版社
https://book.douban.com/subject/27174220/,https://img3.doubanio.com/view/subject/s/public/s29582360.jpg,唇枪, ,8.2,2836人,金十四钗 / 96,暂无,金十四钗,耽美&原耽&耽美小说&BL&现代&小说, 
https://book.douban.com/subject/33384916/,https://img2.doubanio.com/view/subject/s/public/s32271143.jpg,AWM绝地求生 下册,下册,7.3,1860人,漫漫何其多 著 / 北京时代华文书局 / 2019-4 / 39.8元,本书是漫漫何其多的电竞小说，讲述了电竞明星大神祁醉帮助外冷内热的孤僻队员于炀一步步成为新秀的励志暖心故事。队友们相互扶持，为了追求梦想热血沸腾。中间，也产生... ,漫漫何其多 著,耽美&电竞&漫漫何其多&小说&BL&耽美小说&网游&中国,北京时代华文书局
https://book.douban.com/subject/35048620/,https://img2.doubanio.com/view/subject/s/public/s33631132.jpg,地球上线, ,7.3,1625人,莫晨欢 / 天津人民出版社 / 2020-3 / 49.8元,暂无,莫晨欢,无限流&耽美&强强&科幻&耽美小说&晋江&小说&网络小说,天津人民出版社
https://book.douban.com/subject/34810988/,https://img2.doubanio.com/view/subject/s/public/s33467981.jpg,伪装学渣2, ,6.6,3984人,木瓜黄 / 北京时代华文书局 / 2019-9 / 39.80元,暂无,木瓜黄,耽美&校园&木瓜黄&甜文&贺朝&小说&腐女&学校,北京时代华文书局
https://book.douban.com/subject/33447640/,https://img3.doubanio.com/view/subject/s/public/s32320350.jpg,一醉经年, ,6.5,2121人,水千丞 / 2016,暂无,水千丞,水千丞&耽美&耽美小说&BL&爱情&网络小说, 
https://book.douban.com/subject/27094488/,https://img9.doubanio.com/view/subject/s/public/s29500596.jpg,过门, ,8.4,6385人,priest / 2016-10-1 / 16.90,暂无,priest,耽美&Priest&成长&青春&priest&现代&小说&BL, 
https://book.douban.com/subject/35054430/,https://img9.doubanio.com/view/subject/s/public/s33635614.jpg,最爱你的那十年, ,5.7,1854人,无仪宁死 / 江苏凤凰文艺出版社 / 2020-5 / 45.8,《最爱你的那十年》中，贺知书患有绝症，希望在生命最后的日子，爱人蒋文旭能陪在他身边。然而，蒋文旭忙于事业和应酬，疏于关心。贺知书的主治医生艾子瑜对他无微不至... ,无仪宁死,虐&耽美&耽美小说&同性&网络小说&小说,江苏凤凰文艺出版社
https://book.douban.com/subject/35563150/,https://img1.doubanio.com/view/subject/s/public/s33973768.jpg,陈年烈狗, ,7.6,428人,不问三九 / 花山文艺出版社 / 2021-8 / 49.80元,暂无,不问三九,耽美&青春&原耽&小说&爱情&网络小说&脆皮鸭&虐,花山文艺出版社
https://book.douban.com/subject/25890348/,https://img2.doubanio.com/view/subject/s/public/s27450661.jpg,天涯客（下册）,山河令,7.6,6998人,Priest / 蘊藏文化股份有限公司 / 2014-3 / NTD 240,暂无,Priest,耽美&武侠&Priest&古风&priest&耽美小说&小说&晋江,蘊藏文化股份有限公司
https://book.douban.com/subject/30417670/,https://img3.doubanio.com/view/subject/s/public/s33686300.jpg,孕男~我在男校懷孕了 2, ,,97人,真澄弥 / 翁蛉玲 / 東立 / 2020-5-20 / NTD 130,暂无,真澄弥,耽美&腐女&BL&恋爱&小说&言情&bl&穿越,東立
https://book.douban.com/subject/35141790/,https://img9.doubanio.com/view/subject/s/public/s33687806.jpg,小蘑菇：默示录,大结局,8.3,1173人,一十四洲 / 读创 | 北京联合出版公司 / 2020-7 / 49.8元,暂无,一十四洲,科幻&末世&耽美&小说&原耽&耽美小说&bl&中国,读创 | 北京联合出版公司
https://book.douban.com/subject/30181597/,https://img9.doubanio.com/view/subject/s/public/s33944064.jpg,天官賜福 四, ,8.0,3455人,墨香銅臭 / 平心出版 / 2021-8-2 / NTD 380,暂无,墨香銅臭,墨香铜臭&耽美&小说&古风耽美&古风&耽美小说&晋江&好书，值得一读,平心出版
https://book.douban.com/subject/26937781/,https://img3.doubanio.com/view/subject/s/public/s29228090.jpg,提灯映桃花, ,7.2,2942人,淮上 / 江苏文艺出版社 / 2017-1-1 / 68.00元,暂无,淮上,淮上&耽美&强强&BL&晋江&小说&网络小说&腐女,江苏文艺出版社
https://book.douban.com/subject/30141649/,https://img1.doubanio.com/view/subject/s/public/s29687217.jpg,弟弟就愛騷擾我, ,7.2,111人,魚ともみ / 東立 / 2018-2-7 / NTD 130,爸爸的結婚對象竟然是男人！突然多出來的繼弟還是每天性騷擾自己的變態高中生！從剛認識開始就是電車上的色狼，可是在弟弟每天積極的攻勢下，哥哥也逐漸屈服…？現實中... ,魚ともみ,耽美&BL漫画&耽美漫画&腐女&漫画&BL&『又腐又基』&日本,東立
https://book.douban.com/subject/26793349/,https://img1.doubanio.com/view/subject/s/public/s33646198.jpg,桃花债, ,8.0,7900人,大风刮过 / 中国文联出版社 / 2016-7-1 / 36.00元,暂无,大风刮过,大风刮过&耽美&古风&耽美小说&仙侠&BL&小说&晋江,中国文联出版社
https://book.douban.com/subject/30283534/,https://img1.doubanio.com/view/subject/s/public/s33497359.jpg,社交温度, ,7.0,2046人,卡比丘 / 威向 / 2018-10-31 / NTD 300,方昭暮作为交换生来到了人生地不熟的T校，原本以为会开始一段有趣的实验室生活，天不遂人愿，方昭暮似乎与这个实验室气场不和，刚到第一天就莫名受到了宋远旬的冷暴力... ,卡比丘,耽美&BL&原耽&小说&耽美小说&脆皮鸭&中国&消遣,威向
https://book.douban.com/subject/35076905/,https://img2.doubanio.com/view/subject/s/public/s33650713.jpg,一级律师, ,7.3,1060人,木苏里 / 江苏凤凰文艺出版社 / 2020-5-22 / 54.9元,暂无,木苏里,木苏里&耽美&强强&原耽&BL&小说&耽美小说&电子书,江苏凤凰文艺出版社
https://book.douban.com/subject/26763010/,https://img3.doubanio.com/view/subject/s/public/s29115950.jpg,千秋, ,7.6,3037人,梦溪石 / 长江文艺出版社 / 2016-10,暂无,梦溪石,耽美&梦溪石&武侠&耽美小说&古代&小说&晋江&BL,长江文艺出版社
https://book.douban.com/subject/34833161/,https://img1.doubanio.com/view/subject/s/public/s33484679.jpg,万花筒·千里, ,7.5,2523人,西子绪 / 江苏凤凰文艺出版社 / 2019-9 / 39.8,暂无,西子绪,无限流&恐怖&耽美&惊悚&耽美小说&小说&虚构类,江苏凤凰文艺出版社
https://book.douban.com/subject/35193688/,https://img2.doubanio.com/view/subject/s/public/s33739323.jpg,答案, ,8.1,226人,巫哲 / 江苏凤凰文艺出版社 / 2020-9 / 54.80元,暂无,巫哲,巫哲&耽美&小说&原耽&成长&年下&腐女&同人,江苏凤凰文艺出版社
https://book.douban.com/subject/27061117/,https://img1.doubanio.com/view/subject/s/public/s29467258.jpg,铜钱龛世,（套装共4册）,7.4,2446人,木苏里 / 中国书籍出版社 / 2016-11-1,《黄帝内经精华》分《灵枢》《素问》两部分，为古代医家托轩辕黄帝名之作，为医家、医学理论家联合创作，一般认为成书于春秋战国时期。在以黄帝、岐伯、雷公对话、问答... ,木苏里,耽美&木苏里&古风&玄幻&耽美小说&BL&小说&灵异,中国书籍出版社
https://book.douban.com/subject/25982808/,https://img1.doubanio.com/view/subject/s/public/s27463628.jpg,针锋对决（上）, ,7.2,2820人,水千丞 / 威向 / 2014-9-10 / NT 240,被高薪挖脚的新晋总裁顾青裴，新官上任第一个挑战却是帮老板带儿子！？富二代桀傲不驯的太子党最是烫手，在军队中打磨多年的原炀叛逆又张扬，但顾青裴有自信让对方低头... ,水千丞,水千丞&耽美&耽美小说&BL&原耽&小说&现代&中国,威向
https://book.douban.com/subject/35225417/,https://img2.doubanio.com/view/subject/s/public/s33745952.jpg,翻车指南, ,6.2,302人,酱子贝 / 江苏凤凰文艺出版社 / 2020-10 / 68,暂无,酱子贝,耽美&小说&BL&网游&纯爱&网络小说&网文&腐女,江苏凤凰文艺出版社
https://book.douban.com/subject/34939309/,https://img1.doubanio.com/view/subject/s/public/s33553537.jpg,我喜歡你的信息素 下, ,7.1,1012人,引路星 / 沒譜文化出版社 / 2020-2 / NTD 350,暂无,引路星,ABO&耽美&校园&原耽&BL&小说&中国,沒譜文化出版社
https://book.douban.com/subject/33456676/,https://img2.doubanio.com/view/subject/s/public/s32327552.jpg,镇魂·大结局, ,8.5,1081人,Priest / 贵州人民出版社 / 2019-5 / 49.80元,暂无,Priest,耽美&Priest&小说&priest&原耽&玄幻&大陆,贵州人民出版社
https://book.douban.com/subject/27075484/,https://img9.doubanio.com/view/subject/s/public/s33653544.jpg,人渣反派自救系統 下, ,7.2,4179人,墨香銅臭 / 平心工作室 / 2017-7-24 / NTD 330,暂无,墨香銅臭,墨香铜臭&耽美&耽美小说&仙侠&古风&小说&穿越&重生,平心工作室
https://book.douban.com/subject/26780911/,https://img2.doubanio.com/view/subject/s/public/s33597942.jpg,大哥, ,8.4,4686人,Priest / 上海人民美术出版社 / 2016-3-1 / CNY 32.00,暂无,Priest,Priest&耽美&小说&耽美小说&BL&现代&网络文学&经典,上海人民美术出版社
https://book.douban.com/subject/26781333/,https://img2.doubanio.com/view/subject/s/public/s29056191.jpg,格格不入, ,8.0,6203人,巫哲 / 青岛出版社 / 2016-4-1 / 59.80元,暂无,巫哲,巫哲&耽美&耽美小说&BL&现代都市&生活&小说&现代,青岛出版社
https://book.douban.com/subject/27092735/,https://img9.doubanio.com/view/subject/s/public/s33981256.jpg,大璫 (上), ,8.5,1877人,童子 / 威向 / 2017-7-19 / NT 280,暂无,童子,耽美&古耽&耽美小说&BL&原耽&小说&明代&爱情,威向
